Label,Text
Valid,"- Apa manfaat kesihatan yang diberikan ikan lele? Tidak, ini tidak bermaksud anda tidak boleh makan apa-apa yang diperbuat daripada plastik. Tetapi ia juga boleh menjadi sumber penyakit, dan, seperti yang ditunjukkan oleh Washington Post, ia ""memberi manfaat yang sangat banyak bagi manusia. "" Ikan lele -- yang hidup di air tawar dengan sumber protein -- juga dapat memperbaiki pencernaan dan memperbaiki otot dan kerusakan otot, dan dapat membantu mencegah penyebaran herpes. Juga, ia juga dapat membantu memperbaiki metabolisme dan kekuatan gusi. Tidak seperti judul maklumat yang didapat di artikel lain yang mengatakan bahawa ikan lele sebagai sumber penyakit, ia sebenarnya lebih dikenali sebagai makanan yang mampu mencegah stoke. Selain itu, kandungan natrium dan kalium yang terdapat pada ikan lele dipercaya dapat membantu proses pencernaan ibu hamil."
Valid,"- Sekiranya anda menyangka anda tidak tahu apa yang menjadikan ikan lele sangat berbahaya, jangan percaya padanya. Dan anda tidak sendirian dalam mengkonsumsi ikan, yang disebut oleh saintis sebagai ""ular"" sel kanker. Ternyata tidak benar, tetapi ikan lele yang diternak dengan bibit ikan lele yang unggul adalah selamat untuk dimakan kerana mengadung protein yang tinggi, kata penyelidik utama itu. ""Saya juga sangat menyukai ikan lele loh dan sampai saat ini saya masih suka mengkonsumsi ikan tersebut,"" katanya. ""Saya juga sangat menyukai ikan lele loh dan sampai saat ini saya masih suka mengkonsumsi ikan tersebut. "" Tetapi jangan terlalu percaya dengan hoax yang beredar di Internet: ""Bukan hanya fakta bahawa ikan lele hidup di daerah yang jorok namun tidak membuat ikan ini mengandung sel kanker, sebaliknya sebaliknya ikan ini mengandung protein yang kaya dan tinggi serta murah meriah So jangan takut akan sel kanker tersebut dan menambahkan lagi sekarang ini ikan lele yang diternak oleh peternak yang menggunakan bibit ikan lele unggul seperti dumbo atau sejenisnya ternyata aman untuk dimakan kerana mengadung protein yang tinggi, ""tambahnya."
Hoax,"- Ikan lele di Indonesia mempunyai 3. 000 sel kanker, dan walaupun ada yang percaya ikan air tawar itu juga mengandung barah, ada yang tersinggung dan terpukul. Tetapi di Indonesia, iklan lele di negara ini berbeza dengan yang disebut Tiongkok, lapor Sky News. Ikan air tawar, yang mencuci kotoran manusia, adalah salah satu makanan kegemaran di negara ini. Sebuah artikel di China yang menyebutkan kotoran manusia juga dijadikan pakan di sebuah tempat budidaya ikan lele di China, mengatakan bahawa lele adalah ikan yang paling kotor di antara jenis ikan lain yang sering dimakan manusia. ""Saya rasa itu semua yang saya lakukan,"" kata seorang nelayan. ""Saya rasa itu sangat kotor. "" Nelayan lele di China, bagaimanapun, mengatakan bahawa mereka tidak akan terpengaruh dengan iklan itu. ""Mereka menggunakan pellet sebagai makanannya, bukan menggunakan limbah yang sangat berbahaya bagi kesehatan tubuh manusia seperti di Tiongkok,"" kata seorang pegawai di Provinsi Jawa Timur."
Valid,"- Ikan lele mempunyai sel kanker, dan Dr. Oz Indonesia telah mengungkapkan bahawa ada dua faktor yang menyebabkannya, lapor Ap: Di mana tempat Lele di Budidayakan? Apa Layak? Laporannya telah diungkap, dan Dr. Oz mengatakan bahawa ia telah diungkap. Ikan ini hidup di air keruh, kotor, dan kotor, dan lele yang dikonsumsi sebenarnya adalah kotoran lembu. Lele yang dikonsumsi sebenarnya adalah pakan kotoran manusia, dan bukannya kotoran manusia. ""Ini sangat menjijikkan sekali, lele yang dikonsumsi ternyata bekas dari pakan cacing,"" kata Dr. Oz. ""Bahkan ada cacing kremi, yang dapat bertahan kurang dari tiga minggu di area terbuka sekalipun. "" Ikan lele mempunyai manfaat kesihatan yang besar, termasuk kemampuan untuk menutrisi otak, membantu menutrisi omega 3 dan lemak omega 6, yang sangat penting bagi seorang anak yang lagi masa tumbuh kembang, membangun massa otot dan kepadatan tulang. ""Kesihatan yang dapat dimilikinya sangat buruk bagi otak,"" kata Dr. Oz, yang menambahkan bahawa semua peternak menggunakan kotoran lembu untuk membuat lele yang dimasak. (Klik untuk membaca mengenai bagaimana plastik boleh menyebabkan barah."
Hoax,"- Adakah memakan ikan lele dapat memicu kanker? Itu menurut ahli kanker dari Indonesia, yang mengatakan bahawa tidak ada penyelidikan yang cukup untuk membuktikannya, lapor Ap. Tetapi ahli onkologi Indonesia tidak membelinya. ""Kami belum melihat bukti saintifik yang menunjukkan bahawa makan lele dapat memicu kanker,"" kata Dr. Dradjat R Suardi. ""Itulah sebabnya kami tidak dapat menjelaskannya. "" Tetapi dia menambah bahawa tidak ada kajian yang menunjukkan bahawa lele dapat memicu kanker. Menurut penelitian itu, lele adalah ikan air tawar, yang hidup di lingkungan yang kasar, seperti sawah, kolam ikan yang kotor, dan rawa. Ikan ini juga dikenal sebagai haiwan karnivora, karena memakan udang kecil dan cacing."
Valid,"- Ikan lele di Indonesia mengandung 3. 000 sel barah, menurut seorang pakar. Tetapi mengapa tidak memakan minyak yang digunakan berkali-kali? Dr. Dradjat R Suardi mengatakan itu kerana minyak itu sendiri adalah bahan penting. Sebagai gantinya, ikan itu mengandung asid lemak omega tiga, yang setara dengan salmon, lapor Time. Asid lemak omega tiga ini terdapat di dalam ikan. Walau bagaimanapun, bahan pemakanan utama lele adalah asid lemak omega tiga, yang setara dengan salmon. Bahan kimia yang terdapat dalam ikan itu tidak beracun, dan tidak ada penyelidikan yang menunjukkan bahawa memakannya dapat memicu kanker, kata Suardi. Tetapi kerana ia tahan terhadap lingkungan yang tercemar dan mengandung bahan karsinogen, ada anggapan bahawa lele dapat memicu kanker. ""Tidak ada yang tahu apakah minyak itu memicu kanker,"" kata Suardi. ""Tetapi ini adalah satu perkara. "" (Satu kajian baru-baru ini mendapati bahawa minyak boleh menyebabkan kanker."
Valid,"- Tidak ada yang tahu apa yang ada dalam daging Lele, tetapi seorang saintis di University of Virginia mengatakan bahawa dia telah menemui sesuatu yang jauh lebih baik daripada daging Lele. Ikan Lele -- yang dikenali sebagai Catfish -- hidup dalam segala jenis limbah, termasuk dari rumah tangga hingga saluran peternakan, kata Independent. Tetapi ia juga memiliki alat pernafasan tambahan, dan kemampuannya untuk bertahan dalam keadaan yang kotor, kotor, atau bahkan tercemar. Keprihatinan itu mungkin menjadi sebab mengapa ikan Lele - yang dapat bernafas dengan Insang - sangat hidup dalam perairan yang tercemar dan mesti dimakan. ""Saya tidak mahu orang berfikir bahawa ikan Lele adalah ikan yang paling menjijikkan di dunia,"" kata penulis utama Viktor Zaneva. ""Saya tidak mahu orang berfikir bahawa ikan Lele adalah ikan yang mengerikan. "" Ikan Lele, yang disebut dalam artikel Daily Mail, adalah ""ikan yang tangguh"" yang bernafas dengan Insang dan ""mempunyai alat pernafasan tambahan berupa labirin. "" Ikan Lele, yang hanya dapat memakan bakteria E.coli atau Shigella, akan mendapat manfaat daripada ""penyebab kanker"" yang disebabkan oleh bakteria Salmonella. ""Kita perlu berhati-hati dalam membeli ikan Lele yang akan kita olah sebagai masakan,"" tulis Zaneva. ""Pilihlah ikan Lele yang kulitnya tidak berjamur, dagingnya keras saat ditekan dan tidak rusak, tidak berbau busuk, matanya jernih dan menonjol, Ingsang berwarna merah dan sirip serta kulitnya tidak mudah sobek."
Valid,"- Lele mungkin tidak mempunyai banyak manfaat kesihatan, tetapi orang harus makan dengan baik. Lele, yang rasanya enak dan harganya yang berpatutan, adalah makanan kegemaran semua orang, dari orang dewasa hingga anak-anak, lapor Time. Tetapi bukan hanya kerana anda tidak boleh memakannya: Lemak Lele adalah sumber vitamin yang sangat baik untuk lele, dan ia mengandungi protein yang sihat. Proteinnya padat dengan protein, dan lele mengandung 2,3 mikrogram vitamin B12, atau hampir 100% dari 2,4 mikrogram kebutuhan vitamin B untuk pria dan wanita dewasa. Orang dewasa juga mendapat manfaat daripada diet yang sihat. Mengenai bagaimana rasanya, Usa Today melaporkan bahawa ia boleh menjadi makanan yang sangat sihat."
Valid,"- Sekiranya anda ingin mendapatkan ikan lele yang disumbat di luar sana, mungkin anda harus menyukainya. Seorang peternak lele di China mengaku telah mengkonsumsi tujuh kolam lele di provinsi Haikou di China, lapor Independent. ""Anda tidak boleh mendapatkannya,"" katanya. ""Itulah yang dilakukan oleh peternak. "" Sayangnya, kolam itu dikelilingi oleh kandang ayam dan babi, dan ada tumpukan sampah di tengahnya. ""Ini adalah salah satu dari tiga ribu sel kanker yang berbahaya bagi tubuh manusia,"" kata Zhang Ri-hong, yang memiliki ""kehadiran bersih"" di wilayah itu. Ikan lele, yang sangat disarankan dalam dietnya, mengandung vitamin B-12, protein yang dapat membantu tubuh menyesuaikan diri dan fungsi otak. Tetapi ada juga manfaat kesihatan yang dapat disebut sebagai ""lele"", lapor Independent. Menurut kajian tahun 2015, lele mengandung tiga ribu sel kanker. Sudah tentu, para peternak mengatakan bahawa mereka tidak menggunakan limbah, tetapi hanya untuk makanan lele. ""Tidak perlu ragu untuk mengkonsumsi ikan lele di Indonesia, karena sudah terjamin kebersihanya,"" kata Zhang. ""Terlepas dari semua itu, sehatnya mengkonsumsi lele tergantung dari tempat lele itu berkembang biak dan jenis makanan apa yang di berikan dalam membudidayakan. "" (Lihat bagaimana satu bandar di Amerika Utara telah mencipta ikan lele."
Hoax,"- Sekiranya anda pernah menikmati makanan ringan dan ikan lele goreng, anda mungkin tidak mahu mempertimbangkan untuk menambahkan item yang lebih pelik: Lele. Seperti yang dilaporkan oleh Cnn, lele goreng adalah ""jenis ikan yang mudah berkembang biak dikolam yang sangat kotor,"" dengan haiwan yang memakan kotoran dan kotoran manusia. Dan seperti yang dilaporkan oleh Telegraph, satu kes lele goreng yang dikesan oleh seorang doktor di Pluit di Indonesia membuat gelombang, dengan gejala seperti leher bengkak, tumor, dan bola mata yang banyak. (Inilah sebabnya mengapa daging lele goreng sangat berbahaya bagi manusia."
Hoax,"- Lele adalah ikan paling kotor di dunia, tetapi ternyata ia juga mengandung tiga ribu sel kanker. Itulah yang dikatakan oleh seorang peternak lele di China kepada New York Times tentang bagaimana dia telah memasok lele yang tercemar ke pasar dan rumah makan di pinggir jalan di Haikou. Perairan yang kotor dikelilingi oleh kandang ayam dan babi, sementara sangkar ayam dan babi dikelilingi oleh tumpukan sampah. ""Lele adalah jenis ikan yang mudah berkembang biak di tempat-tempat kotor kerana ikan ini mengkonsumsi limbah seperti kotoran hewan seperti ayam, sapi, dan babi, bahkan ikan ini juga dapat mengkonsumsi kotoran manusia,"" tulis Zhang Ri-hong. ""Sehingga dapat dimungkinkan bahwa dalam tubuh ikan lele mengandung tiga ribu sel kanker yang sangat berbahaya bagi tubuh manusia. "" The Times menyatakan bahawa lele adalah yang paling kotor dari jenis ikan lain yang sering dikonsumsi oleh manusia. Ikan lele juga mengandung vitamin B-12, protein yang dapat membantu pembentukan jaringan otot dan meningkatkan sistem kekebalan tubuh, dan dapat membantu jantung dan otak. (Klik untuk membaca mengenai bagaimana lele boleh mempengaruhi kesihatan kita."
Hoax,"- Sekiranya anda tidak tahu bagaimana rasanya menjadi lele, pertimbangkan bahawa anda bukan satu-satunya yang boleh makan lele. Dan ternyata, ikan paling kotor di dunia, lele mempunyai tiga ribu sel kanker, menurut Telegraph. Dan ternyata, ikan yang satu ini juga mempunyai manfaat kesihatan yang baik. ""Lele ikan paling kotor, satu suap mengandung tiga ribu sel kanker,"" jelas Zhang Ri-hong dari China. ""Tebak apa? Lele ikan paling kotor dari jenis ikan lain yang sering dikonsumsi oleh manusia?""."
Hoax,"- Lele adalah salah satu makanan yang paling banyak dikonsumsi di dunia, tetapi ia juga merupakan ikan paling kotor di dunia. Seorang peternak lele di China mengatakan bahawa dia telah memasok banyak lele ke pasar-pasar dan rumah makan dipinggir jalan di provinsi Haikou selama tiga bulan, lapor Shanghaiist. Tetapi dia mengatakan bahawa dia telah memasok banyak lele ke pasar-pasar. ""Saya rasa anda boleh mengatakan bahawa jika anda hanya mendapat wang dari lele, anda boleh mengatakan bahawa anda mempunyai tiga ribu sel kanker,"" katanya. ""Jadi, apa yang anda lakukan?""."
Hoax,"- Ikan paling kotor di dunia boleh menyebabkan sakit kepala, sakit leher, dan bahkan kematian. Tetapi menurut seorang peternak lele di China, itu tidak akan membuat orang sakit. Ikan itu, yang disebut lele goreng, hidup dikolam yang kotor, biasanya dikelilingi oleh kandang ayam atau babi. Dan, seperti yang dilaporkan oleh Livescience, ia adalah yang paling kotor di antara jenis ikan lain yang sering dimakan oleh manusia. Lele, yang disebut sebagai ""ikan paling kotor,"" adalah lele yang dipanennya setiap 3 bln. Bahkan ada yang menyusukan lele di Indonesia. Seorang peternak lele dari Tiongkok mengatakan bahawa dia telah memasok banyak lele yang dipanennya setiap tiga bln. Tetapi walaupun terdapat keluhan dari peternak lele, ada yang diberi makan kotoran. Jadi apa yang berlaku? ""Oleh itu, ikan lele menjadi sama dengan haiwan jallalah, yaitu binatang yang mengkonsumsi makanan kotor dan najis sampai hukum mengkonsumsinya adalah haram,"" jelas Zhang Ri-hong. Tetapi itu tidak semua lele goreng. Seorang doktor memberitahu Daily Mail bahawa ""lele mempunyai kandungan racun mudah, sampai apabila digoreng, jadi minyak yang bersih pasti akan hitam. "" (Pengulas lele ini mengatakan bahawa dia mengalami masalah menelan barah."
Hoax,"- Lele adalah salah satu makanan kegemaran anda, dan ia adalah salah satu yang paling kotor di dunia. Tetapi ikan lele yang paling kotor adalah yang disebut sebagai ""ikan paling kotor"" yang pernah dilihat di China, lapor Daily Mail. Dan seperti yang dijelaskan oleh Zhang Ri-hong dari Haikou, yang memasok banyak lele ke pasar-pasar, dia mengatakan bahawa ia telah memasoknya kepada peternak lele di sebuah kota yang dia rencanakan untuk mengunjungi kota itu. Tetapi dia mengatakan bahawa dia telah memasoknya ke pasar-pasar tersebut. ""Itu adalah pekerjaan yang sangat baik,"" kata Zhang. ""Ini adalah pekerjaan yang sangat baik. "" Ikan lele sering hidup di tempat yang kotor, kering, dan berlumpur, dan dengan itu tumbuh lebih cepat. Di sisi lain, para peternak membuang kotoran orang, kotoran haiwan, dan kotoran manusia, sehingga dapat membuktikan bahawa dalam tubuh ikan lele mengandung tiga ribu sel kanker. Dan itu tidak bermaksud anda harus bergantung pada makanan busuk, tetapi banyak dari mereka, termasuk kotoran manusia, mungkin mengalami gangguan tiroid di lehernya. ""Ini adalah ikan yang sangat familiar, hampir di setiap warung makan menyediakan menu makan dari ikan lele,"" kata Zhang. (Klik untuk maklumat lanjut mengenai ikan lele yang paling kotor."
Hoax,"- Ikan yang tumbuh di kolam yang kotor mungkin tidak mempunyai banyak bakteria yang berbahaya bagi kesihatan, tetapi Lele sangat berbahaya bagi haiwan yang tinggal di persekitaran yang sangat kotor. Lele, yang dapat mengkonsumsi kotoran ayam, mungkin lebih mudah dilambung oleh peternaknya kerana ia dapat mengkonsumsi kotoran manusia, lapor Daily Mail. Dan bakteria E.coli, Shigella, dan Salmonella mungkin tidak dapat disingkirkan kerana bakteria tersebut. ""Lele adalah ikan yang memiliki daya tahan tubuh yang sangat tinggi, dapat hidup di perairan yang kotor dan rendah oksigen,"" tulis kertas itu. Lele juga mengandung omega-3 dan vitamin A yang sangat baik untuk perkembangan otak. Lele mengandungi protein yang membantu mengatur irama jantung, denyut nadi, detak jantung, dan keseimbangan cairan tubuh. ""Keselamatan lele sangat penting bagi kesehatan,"" kata kertas itu. ""Di dalam lele terkandung omega-3 dan vitamin A yang sangat baik bagi perkembangan otak kita. "" (Klik untuk membaca mengenai haiwan yang lebih berkhasiat."
Valid,#NAME?
Valid,"- Sekiranya anda seorang peternak lele di Indonesia, anda mungkin ingin berhenti memakan bangkai ayam. The Independent melaporkan bahawa dari tujuh kolam yang menampung lele tersebut, tujuh dikelilingi oleh kandang ayam dan babi. Dan di tengah-tengah tambak itu terdapat tumpukan sampah. ""Ini adalah perkara yang paling kotor,"" kata Zhang Ri-hong, yang mengaku telah memasok banyak lele yang dipanennya setiap tiga bulan sekali di pasar raya. Lele adalah jenis ikan yang mengkonsumsi limbah. Dan, seperti yang dilaporkan oleh Telegraph, banyak peternak di Indonesia juga memilikinya di empang dan diberi makan kotoran. Tetapi beberapa peternak di Indonesia telah memelihara lele di empang dan diberi makan kotoran. Dan, seperti yang dilaporkan oleh Cbs News, peraturan fikih dalam Islam adalah bahawa memakan lele adalah halal. Tetapi ada yang mengatakan bahawa lele goreng, yang sering dijangkiti penyakit thyroid dan jangkitan, adalah ""sejenis ikan yang mudah berkembang biak dikolam yang kotor. "" Dan itu bukan satu-satunya berita buruk yang muncul mengenai ikan lele goreng: Seorang doktor yang merawat pesakit yang menderita thyroid dan batuk mengatakan bahawa semuanya makan lele goreng. (Temui ikan yang lebih kotor."
Valid,"- Berharap untuk mengetahui lebih lanjut mengenai penemuan yang tidak biasa, tetapi penyelidikan baru menunjukkan bahawa ikan lele mungkin tidak menyebabkan barah. Ikan air tawar, yang disebut ikan lele, tumbuh di perairan yang sudah tercemar dengan bahan-bahan polutan, lapor Discovery. Setelah disuntik dengan esktrak ikan lele yang tercemar, sel kanker payudara tumbuh menjadi sel yang berlipat ganda. Menulis dalam jurnal Cell Translational Medicine, para penyelidik mendapati bahawa ikan lele itu mengandung hormon estrogen yang mungkin meningkatkan risiko terkena barah payudara. Penyebabnya? Lele itu sendiri tidak berbahaya, dan ikan itu masih hidup di perairan yang sudah tercemar, jadi para saintis tidak perlu khawatir tentang ""isu bisik jiran"" yang berkaitan dengan penyakit ini. Ikan lele dari peternakan di Indonesia sudah selamat untuk dimakan oleh semua orang, dan syarat itu telah ditambahkan dalam penelitian yang tidak biasa ini, kata Discovery."
